"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20260218","우이신설선","4.19민주묘지","1851","1720","20260221"
"20260218","경원선","가능","3629","3407","20260221"
"20260218","3호선","가락시장","3463","3508","20260221"
"20260218","8호선","가락시장","2979","3497","20260221"
"20260218","7호선","가산디지털단지","9868","10228","20260221"
"20260218","경부선","가산디지털단지","4210","6596","20260221"
"20260218","9호선","가양","9255","10327","20260221"
"20260218","우이신설선","가오리","2239","2168","20260221"
"20260218","경의선","가좌","2623","3040","20260221"
"20260218","분당선","가천대","2981","3586","20260221"
"20260218","경춘선","가평","1584","1377","20260221"
"20260218","경인선","간석","3179","2903","20260221"
"20260218","경춘선","갈매","1197","1137","20260221"
"20260218","2호선","강남","28507","28111","20260221"
"20260218","분당선","강남구청","2155","2576","20260221"
"20260218","7호선","강남구청","3765","4408","20260221"
"20260218","5호선","강동","7765","8627","20260221"
"20260218","8호선","강동구청","4311","4587","20260221"
"20260218","경의선","강매","1339","1322","20260221"
"20260218","2호선","강변(동서울터미널)","25152","15363","20260221"
"20260218","5호선","강일","3053","2783","20260221"
"20260218","경춘선","강촌","350","328","20260221"
"20260218","5호선","개롱","2634","2810","20260221"
"20260218","경인선","개봉","11794","11829","20260221"
"20260218","분당선","개포동","1673","1690","20260221"
"20260218","9호선","개화","1140","1013","20260221"
"20260218","5호선","개화산","3065","3123","20260221"
"20260218","5호선","거여","4133","4024","20260221"
"20260218","2호선","건대입구","23843","26915","20260221"
"20260218","7호선","건대입구","7887","8602","20260221"
"20260218","공항철도 1호선","검암","3387","3294","20260221"
"20260218","경강선","경기광주","4287","3952","20260221"
"20260218","과천선","경마공원","343","333","20260221"
"20260218","3호선","경복궁(정부서울청사)","16855","20384","20260221"
"20260218","3호선","경찰병원","2509","2988","20260221"
"20260218","공항철도 1호선","계양","5170","4897","20260221"
"20260218","5호선","고덕","4347","4566","20260221"
"20260218","6호선","고려대(종암)","3036","3481","20260221"
"20260218","수인선","고색","2174","2254","20260221"
"20260218","9호선","고속터미널","15888","13903","20260221"
"20260218","7호선","고속터미널","25689","7830","20260221"
"20260218","3호선","고속터미널","65069","35241","20260221"
"20260218","안산선","고잔","4043","3597","20260221"
"20260218","경의선","곡산","246","245","20260221"
"20260218","경강선","곤지암","1516","1534","20260221"
"20260218","6호선","공덕","6914","6805","20260221"
"20260218","5호선","공덕","4531","4844","20260221"
"20260218","경의선","공덕","1999","1613","20260221"
"20260218","공항철도 1호선","공덕","1656","2329","20260221"
"20260218","7호선","공릉(서울과학기술대)","5795","6421","20260221"
"20260218","9호선","공항시장","1363","1753","20260221"
"20260218","공항철도 1호선","공항화물청사","916","998","20260221"
"20260218","과천선","과천","2853","2468","20260221"
"20260218","경부선","관악","4244","4196","20260221"
"20260218","신림선","관악산(서울대)","2389","2634","20260221"
"20260218","5호선","광나루(장신대)","5424","5536","20260221"
"20260218","경부선","광명","3381","1624","20260221"
"20260218","7호선","광명사거리","11290","10952","20260221"
"20260218","경원선","광운대","3977","4307","20260221"
"20260218","5호선","광화문(세종문화회관)","16062","16415","20260221"
"20260218","6호선","광흥창(서강)","3322","3289","20260221"
"20260218","2호선","교대(법원.검찰청)","8488","10777","20260221"
